classID,classLabels,sensationLabels
1,Emotional,Sadness
1,Emotional,Anger
1,Emotional,Happiness
1,Emotional,Fear
1,Emotional,Surprise
1,Emotional,Disgust
1,Emotional,Pride
1,Emotional,Gratefulness
1,Emotional,LongingFor
1,Emotional,Despise
1,Emotional,Despair
1,Emotional,Shame
1,Emotional,Guilt
1,Emotional,Disappointment
1,Emotional,Pleasure
1,Emotional,Nervousness
2,Motivational,Winning
2,Motivational,Losing
2,Motivational,Succeeding
2,Motivational,Failing
2,Motivational,Wanting
2,Motivational,Craving
2,Motivational,Waiting
2,Motivational,SelfRegulation
3,Social,SocialLonging
3,Social,Speaking
3,Social,Laughing
3,Social,Love
3,Social,SocialExclusion
3,Social,Togetherness
3,Social,Loneliness
3,Social,Ostracism
3,Social,ClosenessInSocialRelations
3,Social,Hostility
3,Social,Sympathy
4,Psychiatric,Anxiety
4,Psychiatric,Panic
4,Psychiatric,Stress
4,Psychiatric,Depression
4,Psychiatric,Mania
5,Homeostatic,Eating
5,Homeostatic,Drinking
5,Homeostatic,Hunger
5,Homeostatic,Satiation
5,Homeostatic,Thirst
5,Homeostatic,Sweating
5,Homeostatic,Urinating
5,Homeostatic,Defecation
5,Homeostatic,Tiredness
5,Homeostatic,Vitality
5,Homeostatic,Exhaustion
6,Physiological,Breathing
6,Physiological,Heartbeat
6,Physiological,Drunkenness
6,Physiological,SexualArousal
6,Physiological,Orgasm
6,Physiological,Shivering
6,Physiological,Hangover
6,Physiological,Heartburn
6,Physiological,Suffocation
6,Physiological,Relaxation
6,Physiological,Sleeping
7,Cognition,Thinking
7,Cognition,Remembering
7,Cognition,Attending
7,Cognition,Forgetting
7,Cognition,Reading
7,Cognition,Imagining
7,Cognition,Daydreaming
7,Cognition,Inferring
7,Cognition,Reasoning
7,Cognition,Estimating
7,Cognition,BeingConscious
7,Cognition,Memorizing
7,Cognition,Recognition
7,Cognition,Recollection
8,Sickness,HavingFlu
8,Sickness,HavingFever
8,Sickness,HavingStomachFlu
8,Sickness,HavingCold
8,Sickness,HavingHeadache
8,Sickness,FeelingNauseous
8,Sickness,HavingToothache
8,Sickness,Coughing
8,Sickness,Sneezing
9,Sensation-perception,Aching
9,Sensation-perception,BeingDazzled
9,Sensation-perception,Seeing
9,Sensation-perception,Hearing
9,Sensation-perception,FeelingTouch
9,Sensation-perception,Smelling
9,Sensation-perception,Tasting
9,Sensation-perception,Itching
9,Sensation-perception,Numbness
9,Sensation-perception,FeelingPain
9,Sensation-perception,Hotness
9,Sensation-perception,Coldness
9,Sensation-perception,Dizziness
9,Sensation-perception,Movement
9,Sensation-perception,Acceleration
